name,mac,template
ASAA_vCloud_Prod,00:50:56:00:10:10,ASAA_vCloud
ASAA_vCloud_QA,00:50:56:00:10:11,ASAA_vCloud
ASAA_vCloud_Staging,00:50:56:00:10:12,ASAA_vCloud
ASAA_vCloud_Dev1,00:50:56:00:10:13,ASAA_vCloud
ASAA_vCloud_Dev2,00:50:56:00:10:14,ASAA_vCloud
ASAA_vCloud_Dev3,00:50:56:00:10:15,ASAA_vCloud
ASAA_vCloud_Dev4,00:50:56:00:10:16,ASAA_vCloud
ASAA_vCloud_Dev5,00:50:56:00:10:17,ASAA_vCloud
ASAA_vCloud_Dev6,00:50:56:00:10:18,ASAA_vCloud
ASAA_vCloud_Dev7,00:50:56:00:10:19,ASAA_vCloud
ASAA_vCloud_Dev8,00:50:56:00:10:20,ASAA_vCloud
ASAA_vCloud_Dev9,00:50:56:00:10:21,ASAA_vCloud
ASAA_vCloud_Dev10,00:50:56:00:10:22,ASAA_vCloud
ASAA_vCloud_Dev11,00:50:56:00:10:23,ASAA_vCloud
ASAA_vCloud_Dev12,00:50:56:00:10:24,ASAA_vCloud
ASAA_vCloud_Dev13,00:50:56:00:10:25,ASAA_vCloud
ASAA_vCloud_Dev14,00:50:56:00:10:26,ASAA_vCloud
ASAA_vCloud_Naz,00:50:56:00:10:27,ASAA_vCloud
ASAA_vCloud_Jimish,00:50:56:00:10:28,ASAA_vCloud
ASAA_vCloud_Dev15,00:50:56:00:12:29,ASAA_vCloud
ASAA_vCloud_Matteo,00:50:56:00:10:30,ASAA_vCloud
ASAA_vCloud_Dev16,00:50:56:00:12:31,ASAA_vCloud
ASAA_vCloud_NJMServices,00:50:56:00:11:42,ASAA_vCloud
ASAA_vCloud_Barry,00:50:56:00:10:31,ASAA_vCloud
ASAA_vCloud_Naz2,00:50:56:00:10:32,ASAA_vCloud
ASAA_vCloud_Jimish2,00:50:56:00:10:34,ASAA_vCloud
ASAA_vCloud_Barry2,00:50:56:00:10:33,ASAA_vCloud
ASAA_vCloud_Matteo2,00:50:56:00:10:35,ASAA_vCloud
ASAA_vCloud_Alan,00:50:56:00:10:36,ASAA_vCloud
