"Time","Message","Severity"
"6/6/18 1:05 PM","apideploy: Started ASAA_vCenter_Naz for vcenter","Information"
"6/6/18 1:05 PM","apideploy: Database /home/api/ASAADeployvCenter.csv imported","Information"
"6/6/18 1:06 PM","apideploy: connected to vCenter vcsa01.d02.airvm.net","Information"
"6/6/18 1:06 PM","apideploy: deleted old VM ASAA_vCenter_Naz","Information"
"6/6/18 1:06 PM","apideploy: Build started VMName=ASAA_vCenter_Naz Datastore=d2-tier1-datastore05 Host=blade12.d02.airvm.net","Information"
"6/6/18 1:07 PM","apideploy: vCenter hnnn  hgVM build completed ASAA_vCenter_Naz","Information"
"6/6/18 1:07 PM","apideploy: network reconfig completed","Error"
"6/6/18 1:07 PM","apideploy: ASAA_vCenter_Naz deployed","Information"
"6/6/18 1:08 PM","apideploy: Started ASAA_vCenter_Naz for vcenter","Information"
"6/6/18 1:08 PM","apideploy: Database /home/api/ASAADeployvCenter.csv imported","Information"
"6/6/18 1:08 PM","apideploy: connected to vCenter vcsa01.d02.airvm.net","Information"
"6/6/18 1:08 PM","apideploy: deleted old VM ASAA_vCenter_Naz","Information"
"6/6/18 1:08 PM","apideploy: Build started VMName=ASAA_vCenter_Naz Datastore=d2-tier1-datastore05 Host=blade16.d02.airvm.net","Information"
"6/6/18 1:09 PM","apideploy: Started ASAA_vCenter_Matteo for vcenter","Information"
"6/6/18 1:09 PM","apideploy: Database /home/api/ASAADeployvCenter.csv imported","Information"
"6/6/18 1:09 PM","apideploy: connected to vCenter vcsa01.d02.airvm.net","Information"
"6/6/18 1:09 PM","apideploy: deleted old VM ASAA_vCenter_Matteo","Information"
"6/6/18 1:09 PM","apideploy: Build started VMName=ASAA_vCenter_Matteo Datastore=d2-tier1-datastore05 Host=blade07.d02.airvm.net","Information"
"6/6/18 1:09 PM","apideploy: vCenter hnnn  hgVM build completed ASAA_vCenter_Naz","Information"
"6/6/18 1:10 PM","apideploy: network reconfig completed","Error"
"6/6/18 1:10 PM","apideploy: ASAA_vCenter_Naz deployed","Information"
"6/6/18 1:10 PM","apideploy: vCenter hnnn  hgVM build completed ASAA_vCenter_Matteo","Information"
"6/6/18 1:11 PM","apideploy: network reconfig completed","Error"
"6/6/18 1:11 PM","apideploy: ASAA_vCenter_Matteo deployed","Information"
